-12.09283146;-77.03768377;136;716;10;13791;200204391;-76;LTE;LTE;675;398
-12.09288593;-77.03802492;136;716;10;0;0;-74;NR;NSA;636666;398
-12.09290748;-77.03814422;136;716;10;13791;200204391;-81;LTE;LTE;675;398
-12.09293966;-77.03844545;134;716;10;13791;200204391;-83;LTE;LTE;675;398
-12.09296246;-77.0386193;132;716;10;0;0;-74;NR;NSA;636666;398
-12.09298455;-77.03881106;132;716;10;13791;200204391;-93;LTE;LTE;675;398
-12.09302452;-77.0391701;132;716;10;13791;199870565;-84;LTE;LTE;675;19
-12.09303311;-77.03921055;132;716;10;0;0;-96;NR;NSA;636666;19
-12.09306342;-77.03940943;131;716;10;13791;199870565;-84;LTE;LTE;675;19
-12.09310256;-77.03961513;130;716;10;13791;199870565;-91;LTE;LTE;675;19
-12.09321992;-77.04036837;130;716;10;13791;199752294;-87;LTE;LTE;675;362
-12.09312635;-77.03976325;130;716;10;0;0;-96;NR;NSA;636666;19
-12.09317125;-77.04006261;130;716;10;13791;199870565;-85;LTE;LTE;675;19
-12.09326794;-77.04075096;130;716;10;13791;199752294;-78;LTE;LTE;675;362
-12.09334842;-77.04137078;129;716;10;13791;199752294;-81;LTE;LTE;675;362
-12.09334842;-77.04137078;129;716;10;0;0;-73;NR;NSA;636666;362
-12.09334842;-77.04137078;129;716;10;0;0;-73;NR;NSA;;
-12.09345615;-77.04226666;126;716;10;13791;199752295;-76;LTE;LTE;675;360
-12.09345615;-77.04226666;126;716;10;0;0;-69;NR;NSA;636666;360
-12.09357485;-77.04313773;126;716;10;13791;199752295;-82;LTE;LTE;675;360
-12.09355318;-77.04296721;126;716;10;0;0;-69;NR;NSA;636666;360
-12.09359698;-77.04332828;128;716;10;13791;199752295;-89;LTE;LTE;675;360
-12.09362695;-77.04356711;128;716;10;13791;201143910;-81;LTE;LTE;675;23
-12.09367477;-77.04397088;124;716;10;13791;201143910;-80;LTE;LTE;675;23
-12.09372353;-77.04431377;123;716;10;0;0;-85;NR;NSA;636666;23
-12.09372353;-77.04431377;123;716;10;13791;201143910;-77;LTE;LTE;675;23
-12.09378288;-77.04466469;122;716;10;13791;201143910;-74;LTE;LTE;675;23
-12.0937902;-77.04470107;123;716;10;0;0;-86;NR;NSA;636666;23
-12.09379262;-77.04473579;123;716;10;13791;201143910;-68;LTE;LTE;675;23
-12.09385699;-77.04514806;123;716;10;13791;201143910;-69;LTE;LTE;675;23
-12.09386829;-77.04529581;122;716;10;0;0;-81;NR;NSA;636666;23
-12.09387012;-77.04532137;123;716;10;13791;201143910;-66;LTE;LTE;675;23
-12.09388755;-77.04547611;122;716;10;0;0;-80;NR;NSA;636666;23
-12.09388259;-77.04544057;122;716;10;13791;201143910;-67;LTE;LTE;675;23
-12.09392978;-77.04570795;121;716;10;0;0;-70;NR;NSA;636666;23
-12.09392978;-77.04570795;121;716;10;13791;201143910;-67;LTE;LTE;675;23
-12.09396075;-77.04602984;122;716;10;0;0;-66;NR;NSA;636666;23
-12.09396557;-77.04608579;121;716;10;13791;201143910;-61;LTE;LTE;675;23
-12.09400673;-77.04637353;120;716;10;0;0;-60;NR;NSA;636666;22
-12.09400673;-77.04637353;120;716;10;13791;201143911;-70;LTE;LTE;675;22
-12.09406151;-77.04668328;119;716;10;13791;201143911;-68;LTE;LTE;675;22
-12.09406522;-77.04671061;119;716;10;0;0;-60;NR;NSA;636666;22
-12.09406522;-77.04671061;119;716;10;13791;201143911;-67;LTE;LTE;675;22
-12.09410384;-77.04696811;122;716;10;0;0;-68;NR;NSA;636666;22
-12.09418034;-77.04761801;119;716;10;13791;201143911;-74;LTE;LTE;675;22
-12.09430972;-77.04855231;119;716;10;13791;199713770;-86;LTE;LTE;2975;224
-12.09435068;-77.0488208;119;716;10;13791;201144041;-95;LTE;LTE;2975;22
-12.09438259;-77.0490801;118;716;10;13791;201144041;-98;LTE;LTE;2975;22
-12.09439358;-77.04913762;118;716;10;13791;201144041;-93;LTE;LTE;2975;22
-12.09444514;-77.04928396;123;716;10;0;0;-91;NR;NSA;636666;222
-12.09445066;-77.04931977;123;716;10;13791;199713769;-93;LTE;LTE;2975;222
-12.09445857;-77.04939663;122;716;10;0;0;-99;NR;NSA;636666;222
-12.09445627;-77.04943852;121;716;10;13791;199713769;-96;LTE;LTE;2975;222
-12.09448335;-77.04971811;119;716;10;13791;199987177;-91;LTE;LTE;2975;32
-12.09448335;-77.04971811;119;716;10;0;0;-91;NR;NSA;636666;32
-12.09447175;-77.049593;120;716;10;13791;199713769;-98;LTE;LTE;2975;222
-12.09450207;-77.04987436;119;716;10;13091;201211370;-92;LTE;LTE;2975;447
-12.09453835;-77.05010395;118;716;10;13791;199713769;-90;LTE;LTE;2975;222
-12.09457414;-77.05039539;116;716;10;13091;201211370;-85;LTE;LTE;2975;447
-12.09459878;-77.05053915;116;716;10;0;0;-90;NR;NSA;636666;447
-12.09459659;-77.05058575;116;716;10;13091;201211370;-68;LTE;LTE;2975;447
-12.09438241;-77.05102915;117;716;10;13091;201211370;-68;LTE;LTE;2975;447
-12.09404689;-77.0515369;114;716;10;13091;201211370;-68;LTE;LTE;2975;447
-12.09371939;-77.05204317;113;716;10;13091;201211367;-79;LTE;LTE;2975;426
-12.09356352;-77.05226592;113;716;10;13091;201211369;-79;LTE;LTE;2975;449
-12.09371939;-77.05204317;113;716;10;13091;201211367;-79;LTE;LTE;2975;426
-12.09336026;-77.05257557;112;716;10;13091;201211369;-77;LTE;LTE;2975;449
-12.09319915;-77.05281599;112;716;10;13091;201211369;-79;LTE;LTE;2975;449
-12.09315756;-77.05288342;113;716;10;0;0;-60;NR;NSA;636666;449
-12.0930454;-77.05303855;114;716;10;13091;201211369;-82;LTE;LTE;2975;449
-12.09290068;-77.05306904;114;716;10;13091;201211369;-83;LTE;LTE;2975;449
-12.09229289;-77.052982;116;716;10;13091;182178841;-88;LTE;LTE;2975;410
-12.09292529;-77.05328512;115;716;10;13091;201211369;-78;LTE;LTE;2975;449
-12.09341737;-77.05354097;113;716;10;13091;201211369;-67;LTE;LTE;2975;449
-12.09385884;-77.05376063;110;716;10;13091;201211369;-96;LTE;LTE;2975;449
-12.0948397;-77.05426348;110;716;10;13091;201211369;-103;LTE;LTE;2975;449
-12.09526262;-77.05440651;108;716;10;13791;199713769;-104;LTE;LTE;2975;222
-12.09527368;-77.05388905;107;716;10;13791;199713769;-98;LTE;LTE;2975;222
-12.09405501;-77.04540299;117;716;10;13791;201144040;-83;LTE;LTE;2975;23
-12.09399793;-77.04500707;118;716;10;0;0;-71;NR;NSA;636666;23
-12.09395651;-77.04480491;121;716;10;13791;201144040;-81;LTE;LTE;2975;23
-12.09387502;-77.0441716;122;716;10;13791;201144040;-86;LTE;LTE;2975;23
-12.09376316;-77.04324352;122;716;10;13791;199752425;-87;LTE;LTE;2975;360
-12.09369483;-77.04276791;124;716;10;0;0;-88;NR;NSA;636666;360
-12.09369483;-77.04276791;124;716;10;13791;199752425;-97;LTE;LTE;2975;360
-12.09361587;-77.04219434;125;716;10;0;0;-87;NR;NSA;636666;360
-12.09360241;-77.04209404;125;716;10;13791;199752425;-87;LTE;LTE;2975;360
-12.09336135;-77.04052039;123;716;10;13791;199752424;-94;LTE;LTE;2975;362
-12.09310859;-77.03840574;134;716;10;0;0;-103;NR;NSA;636666;398
-12.09310859;-77.03840574;134;716;10;13791;200204521;-94;LTE;LTE;2975;398
-12.09311983;-77.03851555;134;716;10;13791;199870695;-94;LTE;LTE;2975;19
-12.09307716;-77.03811107;135;716;10;0;0;-102;NR;NSA;636666;398
-12.09308196;-77.03816076;135;716;10;13791;200204521;-92;LTE;LTE;2975;398
-12.09304018;-77.03779536;135;716;10;0;0;-98;NR;NSA;636666;398
-12.09304018;-77.03779536;135;716;10;13791;200204521;-86;LTE;LTE;2975;398
-12.09301876;-77.03772252;136;716;10;13791;200204521;-87;LTE;LTE;2975;398
-12.09298893;-77.03757242;134;716;10;0;0;-91;NR;NSA;636666;398
-12.09297764;-77.03750031;134;716;10;13791;200204521;-79;LTE;LTE;2975;398
-12.09274977;-77.03611239;136;716;10;0;0;-69;NR;NSA;636666;398
-12.09274038;-77.03611284;137;716;10;0;0;-62;NR;NSA;636666;398
-12.09272775;-77.03600353;136;716;10;13791;200204520;-79;LTE;LTE;2975;396
