Longitud,Latitud,RSRP
"-77,02553794","-12,09127114",-75
"-77,02494596","-12,0912193",-72
"-77,02486608","-12,09121338",-73
"-77,02455638","-12,09118605",-71
"-77,02470427","-12,09120214",-75
"-77,02423182","-12,09114752",-67
"-77,0239355","-12,09113007",-66
"-77,02388072","-12,09114367",-66
"-77,0236916","-12,09138523",-68
"-77,02363974","-12,09174552",-66
"-77,02363196","-12,09180981",-76
